File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample life stage,Biosample sex,Biosample Age,Biosample organism,Biosample treatments,Biosample subcellular fraction term name,Biosample phase,Biosample synchronization stage,Experiment target,Antibody accession,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Platform,Controlled by,File Status,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF846DLR,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,FALSE,22/06/11,ENCODE,,,,1,,,50,,,,"ENCFF018NEO, ENCFF098VFT, ENCFF521VUV",2976491402,ENCODE Processing Pipeline,8e1c9067d47af90a2b0570f8839b98ea,,https://www.encodeproject.org/files/ENCFF846DLR/@@download/ENCFF846DLR.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,,
ENCFF911ZQM,bam,alignments,ENCSR972MUO,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,FALSE,22/06/11,ENCODE,,,,2,,,50,,,,"ENCFF018NEO, ENCFF307HYZ, ENCFF533PES",3111713700,ENCODE Processing Pipeline,4b9217d154c290c030c8f3bfee6726f3,,https://www.encodeproject.org/files/ENCFF911ZQM/@@download/ENCFF911ZQM.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,,
ENCFF874RFY,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,FALSE,22/06/11,ENCODE,,,,1,,,50,,,,"ENCFF018NEO, ENCFF248LJY, ENCFF391TJE",2715110577,ENCODE Processing Pipeline,d6e90ee25f4e0c164ef29003b0149741,,https://www.encodeproject.org/files/ENCFF874RFY/@@download/ENCFF874RFY.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,"poor library complexity, severe bottlenecking",
ENCFF686DEV,bam,alignments,ENCSR087JEN,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,13.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB910BYC,DNA,,,SDS,,FALSE,22/06/11,ENCODE,,,,2,,,50,,,,"ENCFF018NEO, ENCFF219CDV, ENCFF693KKN, ENCFF990VQL",2481495924,ENCODE Processing Pipeline,2c3bf5413530575e7b7fce2605fe4749,,https://www.encodeproject.org/files/ENCFF686DEV/@@download/ENCFF686DEV.bam,mm10,,,released,"mild to moderate bottlenecking, inconsistent platforms",sequencing runs labeled as technical replicates,"poor library complexity, severe bottlenecking",
ENCFF540HFT,bam,alignments,ENCSR066XXZ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,FALSE,29/06/10,ENCODE,,,,1,,,50,,,,"ENCFF002AHS, ENCFF018NEO",1241547090,ENCODE Processing Pipeline,cb6ab300b79224118abdd5a1d76f2e7b,,https://www.encodeproject.org/files/ENCFF540HFT/@@download/ENCFF540HFT.bam,mm10,,,released,,,"insufficient read depth, control insufficient read depth",
ENCFF562SMG,bam,alignments,ENCSR066XXZ,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,FALSE,29/06/10,ENCODE,,,,2,,,50,,,,"ENCFF002AHT, ENCFF018NEO",1253959340,ENCODE Processing Pipeline,d025f4787834736ff6991b0de16dbee5,,https://www.encodeproject.org/files/ENCFF562SMG/@@download/ENCFF562SMG.bam,mm10,,,released,,,"insufficient read depth, control insufficient read depth",
ENCFF815MRR,bam,alignments,ENCSR227UTY,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,FALSE,29/06/10,ENCODE,,,,1,,,36,,,,"ENCFF002AHP, ENCFF018NEO",1143467576,ENCODE Processing Pipeline,159639ad676080a2ecd22ee624bed065,,https://www.encodeproject.org/files/ENCFF815MRR/@@download/ENCFF815MRR.bam,mm10,,,released,low read length,,"insufficient read depth, control insufficient read depth",
ENCFF851MHM,bam,alignments,ENCSR227UTY,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,14.5 day,Mus musculus,,,,,H3K36me3-mouse,ENCAB000ADV,DNA,,,SDS,,FALSE,29/06/10,ENCODE,,,,2,,,36,,,,"ENCFF002AHQ, ENCFF018NEO",1064276749,ENCODE Processing Pipeline,f016c85453e255e3ccd21fa32bb7087f,,https://www.encodeproject.org/files/ENCFF851MHM/@@download/ENCFF851MHM.bam,mm10,,,released,low read length,,"control insufficient read depth, insufficient read depth",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
